Condition Total_Reads Good_Reads Match_Seed1 Match_Seed2 Match_Seed3 Seed_Unmatched Fail_Quality_Filter
C1 18881480 17485942 18768008 6 1 113465 0
C2 25274721 23517241 25114073 6 0 160642 0
C3 19715056 18425409 19599189 8 0 115859 0
E1 16999135 15760307 16895325 4 0 103806 0
E2 24623335 22712540 24475496 5 2 147832 0
E3 17803189 16301745 17693613 5 0 109571 0
H1 13199017 12396334 13121167 1 0 77849 0
H2 23032141 21214343 22895945 5 1 136190 0
H3 11366872 10624754 11297688 3 2 69179 0
V1 21330373 19842824 21201368 12 0 128993 0
V2 21149097 19600535 20999600 7 2 149488 0
V3 18170666 16943700 18060978 3 0 109685 0
N1 25940110 23870037 25758281 14 1 181814 0
N2 13175786 12302688 13093087 5 2 82692 0
N3 19372107 17939277 19260284 6 0 111817 0
NI1 16755965 13389187 16624689 115 14 131147 0
NI2 14082494 11339107 13968199 111 14 114170 0
NI3 18075764 14448846 17932230 182 24 143328 0
A1 7966096 6515736 7906486 98 13 59499 0
A2 21675090 17373806 21504128 232 40 170690 0
A3 11455824 9288172 11368286 106 15 87417 0
ED1 9381288 7511792 9300146 102 9 81031 0
ED2 15958717 12795070 15831690 221 37 126769 0
ED3 10716828 8569305 10635706 159 20 80943 0
AE1 1129395 917604 1120808 63 7 8517 0
AE2 2885935 2351247 2861145 53 6 24731 0
AE3 1459511 1192942 1448921 86 9 10495 0
G1 13487945 10915028 13385771 191 41 101942 0
G2 27141301 22010233 26926582 441 61 214217 0
G3 16401269 13373938 16276231 336 52 124650 0
