AA	pos1	pos2	pos3	pos4	pos5	expected
A	2382405.52845394	2707722.14507347	2678722.62957797	2500750.39497423	2604564.07209937	2
C	1274927.05349159	1225320.85858372	1303045.11669258	1292134.21321415	1363349.52390616	1
D	1992933.69492509	1864494.44647706	1983611.75196352	1824242.72089074	1941537.07691099	1
E	1542119.3490893	1471006.50261313	1557993.04459339	1739824.1040246	1343722.20738859	1
F	3011375.91950882	2732782.27482828	3152497.42353428	3198399.31542084	2765718.76471433	1
G	3970346.88346621	3591430.56384449	3814964.12554152	3566998.03876787	3361185.89066832	2
H	1636351.33399958	1464645.62573134	1711279.32666782	1702169.93704262	2012531.58333994	1
I	2394882.92378312	2851543.93762951	2421069.51524866	2450992.16584919	2455171.59520166	1
K	2112074.46298103	1834075.50658234	1467382.49298929	1583197.25120696	1533492.24845676	1
L	5273694.57774085	4893398.96512777	5321171.87662047	5476306.79712842	5247440.36411595	3
M	1845252.12440531	2064332.08060565	1953264.48848841	1598599.00682101	2045226.51459477	1
N	2171028.2731547	2406401.56122697	2415746.71612821	2266512.70991596	2217326.13914506	1
P	1786291.06311844	1849525.25084843	2006582.13718144	2046921.846551	2437789.7306932	2
Q	1423810.1124039	1322923.23434832	1245339.64651447	1046372.80352066	1584301.46731749	1
R	4133587.31182098	4278314.46532441	3721914.04773275	4179341.5620351	3629617.24038878	3
S	5115692.62484998	5653091.08418642	5634006.20437901	5509589.92730661	5580061.53145536	3
T	2815978.41727053	2912256.11860247	2719622.94110013	2867592.4968965	2719134.58193817	2
V	4287925.27161957	4319256.77272865	4226203.53604822	4551317.43204262	4378182.04794752	2
W	1847364.26929486	1605954.65578031	1617645.95947365	1591734.98276953	1610886.25740272	1
Y	2539187.74216639	2508257.30421378	2607002.55959722	2567010.40681214	2734814.22038841	1
X	18659.0624682083	19154.6456563394	16822.4599392872	15879.8868209675	9834.9419382421	1
