AA	pos1	pos2	pos3	pos4	pos5	expected
A	2167135.39775657	2308021.78944026	2360727.39148947	2189114.01247539	2247896.25196134	2
C	1055272.68965427	1013854.68829738	1096287.17612165	1071439.89776694	1132070.10475738	1
D	1708785.80572626	1578674.81424368	1683102.11753657	1519744.20761148	1567132.79970397	1
E	1343923.02857586	1273375.94686204	1341380.57300993	1453664.66091871	1141097.72516717	1
F	2014633.55583629	2024929.17330251	2508367.9132697	2650063.14693726	2310278.9485257	1
G	3279631.56487366	3057721.27083965	3248982.51467567	3001882.42471848	2842311.59321013	2
H	1432677.62436414	1252274.34485289	1438921.11313953	1418111.5817659	1639163.76244401	1
I	2073087.21175944	2384022.21003007	2078263.92601374	2103945.23801942	2112614.08205115	1
K	1794867.81344892	1604157.53313937	1259962.60355587	1331630.12783742	1279407.70407709	1
L	4582093.44304972	4176090.63493488	4541202.28216687	4733148.57561669	4623717.84763452	3
M	1630843.92995688	1823623.85822023	1683162.60389387	1391209.77683117	1788725.40447059	1
N	1814226.1163236	2018372.04608521	1959656.29662417	1851343.60845043	1809645.26782044	1
P	1644512.86882203	1638626.15886131	1654177.38291521	1750353.19602825	2030272.83085236	2
Q	1252354.85139811	1131364.36094066	1053965.82168404	886871.705584322	1339046.86903321	1
R	3460262.6786459	3821430.30460081	3311826.24895828	3660567.91332647	3160014.38993738	3
S	4341648.78833367	4776804.07128485	4656051.91939086	4594666.64849265	4759610.93883639	3
T	2462369.75295173	2554180.29489458	2355125.57085989	2458043.93934654	2320113.61463688	2
V	3680324.87377883	3562377.03405986	3626530.57238197	3803407.90560254	3730697.71003838	2
W	1583628.17862063	1412655.20575986	1392262.5009296	1390602.05681732	1408423.0280194	1
Y	2115533.0531636	2025561.48734087	2186964.70312495	2177441.42831907	2197386.16174889	1
X	6632.77296016777	6328.77200923305	7524.7682583027	7193.94753374738	4818.96507377179	1
