AA	pos1	pos2	pos3	pos4	pos5	expected
A	4635808.4945955	5089063.1955574	5118804.02149911	4768623.23615776	4929945.20735667	2
C	2398633.03270645	2308729.16291442	2472152.00481932	2435285.96335967	2563468.89054869	1
D	3772548.34366864	3513291.16619565	3739530.48934307	3414988.41833708	3575168.87004042	1
E	2951039.44842421	2810024.41326997	2966804.80731109	3258372.90513949	2551892.50640835	1
F	5046170.82986453	4798394.35081251	5714430.40350213	5907826.17433113	5135558.99605384	1
G	7324515.82765079	6734684.64572506	7149838.23125364	6653239.03763401	6287964.91955555	2
H	3136296.77957006	2781007.3443107	3214878.46615186	3184253.85270214	3711856.61424232	1
I	4536520.01881182	5297883.52069537	4564761.2787142	4616694.76415084	4631512.66857594	1
K	3975286.43021735	3510974.0168029	2792624.22370204	2978678.89245046	2877601.18883828	1
L	9929738.52139652	9138806.82573737	9931495.85475126	10284552.0213813	9949642.24076949	3
M	3546069.4003592	3959352.69479523	3702625.65167488	3058729.00515534	3904865.58364916	1
N	4055779.26231569	4495869.35154988	4440997.75379074	4185973.17894528	4095814.77914999	1
P	3513739.2324452	3564464.21990829	3727125.30722904	3871271.42159565	4542260.02964629	2
Q	2739226.55288911	2512389.62230828	2356686.66074792	1992083.45128766	2982345.74390012	1
R	7666981.77202489	8190673.21042015	7121250.2277828	7926198.04147116	6871812.27643987	3
S	9534499.68962334	10502842.1346945	10354757.844842	10172660.3935372	10416300.9897257	3
T	5359932.56749545	5547174.6951106	5151166.33192953	5398875.02434798	5113647.49351675	2
V	8044233.26892579	7945754.27770207	7924015.25265721	8411902.92340918	8175842.54701478	2
W	3488097.50926	3080779.6741998	3070141.26816699	3044033.25359172	3079867.64789295	1
Y	4716332.8384166	4589675.43021302	4858475.86444093	4809351.2164184	4987599.84985013	1
X	39751.179335144	39367.047071984	38639.0556855567	37607.8245927217	26231.9568209413	1
